FileType, Version, Date, Time, ChartField, TimeSource, Recorder, Scale, Units, ChartSubType, BaseScaling
LDP, 1, 11/02/2021, 11:04:05, Record, Internal, 3, Unity, Primary, Unknown, Primary
RecNum, Date, Time, Phase, Status
-1, 1, 2, -1, 3
"VA", "VB", "VC", "IA", "IB", "IC", "IN", "PFDA", "PFDB", "PFDC", "THDIA", "THDIB", "THDIC", "FREQ"
4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17
DeviceID, FID, TID, Form, CTR, CTRN, PTR, LDAR
"FEEDER 1", "SEL-735-R205-V2-Z102100-D20210305", "STATION A", 9, 1, 1, 1, 3
ChannelName, ChannelFunction, ChannelUnits, ChannelRule, ChannelMult, ChannelRollover, ChannelScale
"VA", EOI, "V", "PTR", 1, 999999999, 1
"VB", EOI, "V", "PTR", 1, 999999999, 1
"VC", EOI, "V", "PTR", 1, 999999999, 1
"IA", EOI, "A", "CTR", 1, 999999999, 1
"IB", EOI, "A", "CTR", 1, 999999999, 1
"IC", EOI, "A", "CTR", 1, 999999999, 1
"IN", EOI, "A", "CTRN", 1, 999999999, 1
"PFDA", EOI, "NA", "1", 1, 999999999, 1
"PFDB", EOI, "NA", "1", 1, 999999999, 1
"PFDC", EOI, "NA", "1", 1, 999999999, 1
"THDIA", EOI, "%", "1", 1, 999999999, 1
"THDIB", EOI, "%", "1", 1, 999999999, 1
"THDIC", EOI, "%", "1", 1, 999999999, 1
"FREQ", EOI, "Hz", "1", 1, 999999999, 1
EventDate, EventTime, EventCode, EventDescription
04/20/2021, 23:20:51.817, X0002, "Power loss"
04/28/2021, 09:58:44.079, X0001, "Power restored"
04/28/2021, 10:00:21.971, X2048, "SALARM, Assert"
04/28/2021, 10:00:22.971, X1048, "SALARM, Deassert"
04/28/2021, 10:00:26.346, X2034, "TEST, Assert"
04/28/2021, 10:00:50.446, X1034, "TEST, Deassert"
04/28/2021, 10:04:51.129, X0002, "Power loss"
05/17/2021, 15:51:38.430, X0001, "Power restored"
05/18/2021, 07:09:18.076, X0002, "Power loss"
05/18/2021, 07:13:04.126, X0001, "Power restored"
05/18/2021, 07:24:25.201, X2032, "SSI_EVE, Assert"
05/18/2021, 07:26:16.842, X2048, "SALARM, Assert"
05/18/2021, 07:26:17.842, X1048, "SALARM, Deassert"
05/18/2021, 07:26:34.034, X0000, "Device settings changed"
05/18/2021, 07:26:34.467, X2048, "SALARM, Assert"
05/18/2021, 07:26:35.467, X1048, "SALARM, Deassert"
05/18/2021, 07:28:34.667, X0000, "Device settings changed"
05/18/2021, 07:28:35.092, X2048, "SALARM, Assert"
05/18/2021, 07:28:36.092, X1048, "SALARM, Deassert"
05/18/2021, 09:09:33.037, X2048, "SALARM, Assert"
05/18/2021, 09:09:34.037, X1048, "SALARM, Deassert"
05/18/2021, 09:26:57.803, X2048, "SALARM, Assert"
05/18/2021, 09:26:58.803, X1048, "SALARM, Deassert"
05/18/2021, 10:48:09.203, X0002, "Power loss"
06/14/2021, 11:50:28.504, X0001, "Power restored"
06/14/2021, 11:53:57.154, X0002, "Power loss"
