FileType, Version, Date, Time, ChartField, TimeSource, Recorder, Scale, Units, ChartSubType, BaseScaling,,,,,,,
LDP,1, 10/26/2021, 09:38:12, Record, Internal,3, Unity, Primary, Unknown, Primary,,,,,,,
RecNum, Date, Time, Phase, Status,,,,,,,,,,,,,
-1,1,2,-1,3,,,,,,,,,,,,,
VA," ""VB"""," ""VC"""," ""IA"""," ""IB"""," ""IC"""," ""IN"""," ""PFDA"""," ""PFDB"""," ""PFDC"""," ""THDIA"""," ""THDIB"""," ""THDIC"""," ""FREQ""",,,,
4,5,6,7,8,9,10,11,12,13,14,15,16,17,,,,
DeviceID, FID, TID, Form, CTR, CTRN, PTR, LDAR,,,,,,,,,,
FEEDER 1," ""SEL-735-R205-V2-Z102100-D20210305"""," ""STATION A""",9,1,1,1,3,,,,,,,,,,
ChannelName, ChannelFunction, ChannelUnits, ChannelRule, ChannelMult, ChannelRollover, ChannelScale,,,,,,,,,,,
VA, EOI," ""V"""," ""PTR""",1,999999999,1,,,,,,,,,,,
VB, EOI," ""V"""," ""PTR""",1,999999999,1,,,,,,,,,,,
VC, EOI," ""V"""," ""PTR""",1,999999999,1,,,,,,,,,,,
IA, EOI," ""A"""," ""CTR""",1,999999999,1,,,,,,,,,,,
IB, EOI," ""A"""," ""CTR""",1,999999999,1,,,,,,,,,,,
IC, EOI," ""A"""," ""CTR""",1,999999999,1,,,,,,,,,,,
IN, EOI," ""A"""," ""CTRN""",1,999999999,1,,,,,,,,,,,
PFDA, EOI," ""NA"""," ""1""",1,999999999,1,,,,,,,,,,,
PFDB, EOI," ""NA"""," ""1""",1,999999999,1,,,,,,,,,,,
PFDC, EOI," ""NA"""," ""1""",1,999999999,1,,,,,,,,,,,
THDIA, EOI," ""%"""," ""1""",1,999999999,1,,,,,,,,,,,
THDIB, EOI," ""%"""," ""1""",1,999999999,1,,,,,,,,,,,
THDIC, EOI," ""%"""," ""1""",1,999999999,1,,,,,,,,,,,
FREQ, EOI," ""Hz"""," ""1""",1,999999999,1,,,,,,,,,,,
EventDate, EventTime, EventCode, EventDescription,,,,,,,,,,,,,,
4/20/2021, 23:20:51.817, X0002," ""Power loss""",,,,,,,,,,,,,,
4/28/2021, 09:58:44.079, X0001," ""Power restored""",,,,,,,,,,,,,,
4/28/2021, 10:00:21.971, X2048," ""SALARM"," Assert""",,,,,,,,,,,,,
